Profit;OrderNumber;OrderDate;Channel;Warehouse Code;Delivery Region Index;Product Description Index;Order Quantity;Unit Price;Line Total;Total Unit Cost;Customer Name Index;Customer Names;Customer Sales Group;Head Office Index;Product Name;Product Sales;City;Country
402,40199999999993;SO - 000788;19.08.2014;Wholesale;AXW291;11;13;11;1031,8;11349,8;629,398;173;H Ltd;Top Clients;12;Product 13;10153809,8;WARSZAWA (Warsaw);Poland
996,424;SO - 000799;20.08.2014;Wholesale;AXW291;3;1;11;3832,4;42156,4;2835,976;76;NARS Group;Top Clients;27;Product 1;9446611,40000001;MADRID;Spain
353,76;SO - 000824;23.08.2014;Wholesale;AXW291;22;6;11;1179,2;12971,2;825,44;115;Dynazzy Company;Top Clients;61;Product 6;11016019,4;Napoli (Naples);Italy
458,2800000000001;SO - 000833;24.08.2014;Wholesale;AXW291;16;1;11;1145,7;12602,7;687,42;161;Aveda Group;Lower Clients;58;Product 1;9446611,40000001;Milano (Milan);Italy
421,42999999999995;SO - 000862;28.08.2014;Wholesale;AXW291;7;8;11;1139;12529;717,57;125;Zooveo Company;Top Clients;22;Product 8;10172670,3;BUCURESTI (Bucharest);Romania
608,0249999999999;SO - 000865;28.08.2014;Wholesale;AXW291;18;13;11;2432,1;26753,1;1824,075;62;Topiczoom Corp;Top Clients;53;Product 13;10153809,8;PRAHA (Prague);Czech Republic
94,06799999999998;SO - 000888;31.08.2014;Wholesale;AXW291;4;5;11;174,2;1916,2;80,132;16;Arbor Company;Top Clients;37;Product 5;9609803,3;ROMA;Italy
1273,536;SO - 000908;02.09.2014;Wholesale;AXW291;18;2;11;2358,4;25942,4;1084,864;69;Vinte Group;Mid. Clients;48;Product 2;10711068,9;PRAHA (Prague);Czech Republic
1309,917;SO - 000947;08.09.2014;Wholesale;AXW291;19;14;11;2298,1;25279,1;988,183;27;Wise Company;Top Clients;28;Product 14;10295467,9;SOFIA;Bulgaria
626,0480000000002;SO - 0001014;15.09.2014;Wholesale;AXW291;27;3;11;3912,8;43040,8;3286,752;106;Organon Corp;Top Clients;15;Product 3;10374661,9;ZAGREB;Croatia
43,55;SO - 0001059;21.09.2014;Wholesale;AXW291;4;10;11;167,5;1842,5;123,95;2;Jaxbean Group;Top Clients;42;Product 10;10736750;ROMA;Italy
519,25;SO - 0001098;26.09.2014;Wholesale;AXW291;11;5;11;1675;18425;1155,75;31;Golden Corp;Top Clients;36;Product 5;9609803,3;WARSZAWA (Warsaw);Poland
357,981;SO - 0001110;27.09.2014;Wholesale;AXW291;6;12;11;917,9;10096,9;559,919;121;Tambee Company;Top Clients;47;Product 12;10660912,7;PARIS;France
593,2849999999999;SO - 0001124;28.09.2014;Wholesale;AXW291;18;14;11;1695,1;18646,1;1101,815;40;Twinte Group;Mid. Clients;59;Product 14;10295467,9;PRAHA (Prague);Czech Republic
114,97200000000001;SO - 0001175;04.10.2014;Wholesale;AXW291;23;5;11;261,3;2874,3;146,328;50;Wordtune Company;Top Clients;32;Product 5;9609803,3;Birmingham;UK
1519,5600000000004;SO - 0001237;14.10.2014;Wholesale;AXW291;3;10;11;5628;61908;4108,44;77;Valeant Corp;Top Clients;60;Product 10;10736750;MADRID;Spain
568,1600000000001;SO - 0001275;19.10.2014;Wholesale;AXW291;22;15;11;1775,5;19530,5;1207,34;142;Skippad Ltd;Top Clients;27;Product 15;10747791,6;Napoli (Naples);Italy
878,3699999999999;SO - 0001287;21.10.2014;Wholesale;AXW291;23;9;11;2311,5;25426,5;1433,13;125;Zooveo Company;Top Clients;22;Product 9;10489225,2;Birmingham;UK
77,452;SO - 0001317;25.10.2014;Wholesale;AXW291;12;1;11;227,8;2505,8;150,348;90;Aimbo Corp;Top Clients;49;Product 1;9446611,40000001;BEOGRAD (Belgrade);Serbia
670;SO - 0001330;26.10.2014;Wholesale;AXW291;30;13;11;2680;29480;2010;144;Wordpedia Ltd;Top Clients;12;Product 13;10153809,8;Marseille;France
929,8260000000001;SO - 0001352;29.10.2014;Wholesale;AXW291;4;7;11;1721,9;18940,9;792,074;70;Cogidoo Company;Top Clients;36;Product 7;9503112,49999999;ROMA;Italy
1280,37;SO - 0001360;30.10.2014;Wholesale;AXW291;17;14;11;3048,5;33533,5;1768,13;146;Vimbo Company;Top Clients;34;Product 14;10295467,9;München (Munich);Germany
449,4359999999999;SO - 0001378;01.11.2014;Wholesale;AXW291;6;11;11;1728,6;19014,6;1279,164;77;Valeant Corp;Top Clients;60;Product 11;10003749,9;PARIS;France
308,736;SO - 0001393;02.11.2014;Wholesale;AXW291;29;8;11;857,6;9433,6;548,864;133;Mydo Corp;Top Clients;54;Product 8;10172670,3;Lódz;Poland
285,688;SO - 0001420;05.11.2014;Wholesale;AXW291;10;11;11;1098,8;12086,8;813,112;102;Linkbuzz Ltd;Mid. Clients;64;Product 11;10003749,9;MINSK;Belarus
452,25;SO - 0001428;07.11.2014;Wholesale;AXW291;25;10;11;2512,5;27637,5;2060,25;126;Rhynoodle Ltd;Top Clients;52;Product 10;10736750;Köln (Cologne);Germany
639,3140000000001;SO - 0001433;08.11.2014;Wholesale;AXW291;22;6;11;2458,9;27047,9;1819,586;26;Avavee Group;Top Clients;33;Product 6;11016019,4;Napoli (Naples);Italy
951,1319999999996;SO - 0001485;13.11.2014;Wholesale;AXW291;22;2;11;3658,2;40240,2;2707,068;145;Janyx Group;Top Clients;11;Product 2;10711068,9;Napoli (Naples);Italy
733,2479999999996;SO - 0001511;16.11.2014;Wholesale;AXW291;13;8;11;3859,2;42451,2;3125,952;130;Jayo Company;Top Clients;53;Product 8;10172670,3;WIEN (Vienna);Austria
318,65199999999993;SO - 0001540;20.11.2014;Wholesale;AXW291;17;5;11;1098,8;12086,8;780,148;133;Mydo Corp;Top Clients;54;Product 5;9609803,3;München (Munich);Germany
1165,8;SO - 0001545;20.11.2014;Wholesale;AXW291;13;9;11;2010;22110;844,2;68;True Ltd;Top Clients;4;Product 9;10489225,2;WIEN (Vienna);Austria
929,96;SO - 0001562;22.11.2014;Wholesale;AXW291;5;4;11;2324,9;25573,9;1394,94;27;Wise Company;Top Clients;28;Product 4;10834576,7;KIEV;Ukraine
2904,7180000000003;SO - 0001600;27.11.2014;Wholesale;AXW291;14;8;11;5480,6;60286,6;2575,882;113;Talane Group;Top Clients;64;Product 8;10172670,3;Kharkov;Ukraine
361,13;SO - 0001698;08.12.2014;Wholesale;AXW291;22;3;11;737;8107;375,87;102;Linkbuzz Ltd;Mid. Clients;64;Product 3;10374661,9;Napoli (Naples);Italy
1349,112;SO - 0001721;12.12.2014;Wholesale;AXW291;10;12;11;5621,3;61834,3;4272,188;35;Aromaticos Company;Top Clients;34;Product 12;10660912,7;MINSK;Belarus
2751,355;SO - 0001723;12.12.2014;Wholesale;AXW291;9;3;11;6398,5;70383,5;3647,145;44;Fivechat Company;Lower Clients;10;Product 3;10374661,9;Hamburg;Germany
405,015;SO - 0001724;12.12.2014;Wholesale;AXW291;1;7;11;1038,5;11423,5;633,485;88;Twitterbri Ltd;Top Clients;46;Product 7;9503112,49999999;LONDON;UK
394,9649999999997;SO - 0001739;13.12.2014;Wholesale;AXW291;20;12;11;2633,1;28964,1;2238,135;155;Zoomdog Corp;Lower Clients;25;Product 12;10660912,7;Dnepropetrovsk;Ukraine
3170,44;SO - 0001821;22.12.2014;Wholesale;AXW291;22;8;11;6097;67067;2926,56;91;Zoonder Group;Top Clients;19;Product 8;10172670,3;Napoli (Naples);Italy
948,1170000000001;SO - 0001828;23.12.2014;Wholesale;AXW291;24;13;11;1788,9;19677,9;840,783;163;Zava Group;Top Clients;25;Product 13;10153809,8;Odessa;Ukraine
1781,7309999999998;SO - 0001830;23.12.2014;Wholesale;AXW291;17;3;11;6143,9;67582,9;4362,169;25;Zoonoodle Ltd;Top Clients;23;Product 3;10374661,9;München (Munich);Germany
663,3;SO - 0001899;30.12.2014;Wholesale;AXW291;16;13;11;1105,5;12160,5;442,2;31;Golden Corp;Top Clients;36;Product 13;10153809,8;Milano (Milan);Italy
271,55099999999993;SO - 0001906;30.12.2014;Wholesale;AXW291;9;8;11;1293,1;14224,1;1021,549;48;Rochester Group;Top Clients;24;Product 8;10172670,3;Hamburg;Germany
557,6410000000001;SO - 0001976;05.01.2015;Wholesale;AXW291;27;3;11;1922,9;21151,9;1365,259;18;Omba Group;Top Clients;36;Product 3;10374661,9;ZAGREB;Croatia
821,018;SO - 0001981;05.01.2015;Wholesale;AXW291;6;1;11;3731,9;41050,9;2910,882;14;Alembic Ltd;Top Clients;2;Product 1;9446611,40000001;PARIS;France
918,4359999999999;SO - 0002006;08.01.2015;Wholesale;AXW291;24;5;11;1996,6;21962,6;1078,164;16;Arbor Company;Top Clients;37;Product 5;9609803,3;Odessa;Ukraine
1112,937;SO - 0002031;10.01.2015;Wholesale;AXW291;6;6;11;5299,7;58296,7;4186,763;96;Thoughtmix Ltd;Top Clients;43;Product 6;11016019,4;PARIS;France
497,207;SO - 0002060;12.01.2015;Wholesale;AXW291;5;6;11;1212,7;13339,7;715,493;59;Gabvine Ltd;Mid. Clients;64;Product 6;11016019,4;KIEV;Ukraine
499,2840000000001;SO - 0002085;16.01.2015;Wholesale;AXW291;13;2;11;1085,4;11939,4;586,116;32;EMD Group;Mid. Clients;54;Product 2;10711068,9;WIEN (Vienna);Austria
549,8689999999999;SO - 0002146;22.01.2015;Wholesale;AXW291;22;11;11;1896,1;20857,1;1346,231;5;Blogtags Ltd;Top Clients;8;Product 11;10003749,9;Napoli (Naples);Italy
678,9780000000001;SO - 0002164;25.01.2015;Wholesale;AXW291;16;7;11;3772,1;41493,1;3093,122;95;Realbridge Corp;Top Clients;9;Product 7;9503112,49999999;Milano (Milan);Italy
512,55;SO - 0002168;25.01.2015;Wholesale;AXW291;7;2;11;1708,5;18793,5;1195,95;121;Tambee Company;Top Clients;47;Product 2;10711068,9;BUCURESTI (Bucharest);Romania
68,00500000000001;SO - 0002188;28.01.2015;Wholesale;AXW291;4;7;11;194,3;2137,3;126,295;97;Twimbo Company;Mid. Clients;23;Product 7;9503112,49999999;ROMA;Italy
550,1370000000001;SO - 0002265;06.02.2015;Wholesale;AXW291;4;13;11;1078,7;11865,7;528,563;45;State Ltd;Top Clients;35;Product 13;10153809,8;ROMA;Italy
2098,6409999999996;SO - 0002280;08.02.2015;Wholesale;AXW291;5;7;11;3959,7;43556,7;1861,059;98;Natures Group;Lower Clients;7;Product 7;9503112,49999999;KIEV;Ukraine
564,0059999999999;SO - 0002310;11.02.2015;Wholesale;AXW291;13;15;11;2452,2;26974,2;1888,194;167;Nlounge Ltd;Mid. Clients;62;Product 15;10747791,6;WIEN (Vienna);Austria
830,5990000000002;SO - 0002316;12.02.2015;Wholesale;AXW291;21;7;11;3611,3;39724,3;2780,701;174;Tekfly Group;Mid. Clients;23;Product 7;9503112,49999999;Donetsk;Ukraine
2927,5649999999996;SO - 0002322;12.02.2015;Wholesale;AXW291;29;6;11;6505,7;71562,7;3578,135;70;Cogidoo Company;Top Clients;36;Product 6;11016019,4;Lódz;Poland
549,936;SO - 0002430;26.02.2015;Wholesale;AXW291;23;2;11;1145,7;12602,7;595,764;56;Realpoint Corp;Lower Clients;11;Product 2;10711068,9;Birmingham;UK
1792,7859999999996;SO - 0002476;04.03.2015;Wholesale;AXW291;28;13;11;5272,9;58001,9;3480,114;38;Neutrogena Ltd;Top Clients;33;Product 13;10153809,8;Zaporozhye;Ukraine
1390,7189999999996;SO - 0002477;04.03.2015;Wholesale;AXW291;24;3;11;3758,7;41345,7;2367,981;122;Brightdog Corp;Mid. Clients;33;Product 3;10374661,9;Odessa;Ukraine
517,776;SO - 0002505;09.03.2015;Wholesale;AXW291;22;9;11;1125,6;12381,6;607,824;108;Vitz Company;Mid. Clients;27;Product 9;10489225,2;Napoli (Naples);Italy
88,641;SO - 0002541;14.03.2015;Wholesale;AXW291;15;7;11;180,9;1989,9;92,259;100;Aibox Company;Top Clients;6;Product 7;9503112,49999999;Barcelona;Spain
2332,203;SO - 0002604;23.03.2015;Wholesale;AXW291;23;13;11;5688,3;62571,3;3356,097;126;Rhynoodle Ltd;Top Clients;52;Product 13;10153809,8;Birmingham;UK
385,92;SO - 0002609;23.03.2015;Wholesale;AXW291;22;11;11;857,6;9433,6;471,68;170;SEINDNI Corp;Mid. Clients;58;Product 11;10003749,9;Napoli (Naples);Italy
440,7929999999999;SO - 0002643;27.03.2015;Wholesale;AXW291;14;15;11;1025,1;11276,1;584,307;119;Livepath Corp;Mid. Clients;5;Product 15;10747791,6;Kharkov;Ukraine
726,95;SO - 0002646;27.03.2015;Wholesale;AXW291;25;8;11;2345;25795;1618,05;167;Nlounge Ltd;Mid. Clients;62;Product 8;10172670,3;Köln (Cologne);Germany
336,60800000000006;SO - 0002666;31.03.2015;Wholesale;AXW291;30;9;11;1051,9;11570,9;715,292;157;Flipstorm Group;Mid. Clients;51;Product 9;10489225,2;Marseille;France
772,108;SO - 0002675;02.04.2015;Wholesale;AXW291;29;3;11;1795,6;19751,6;1023,492;54;Revitol Company;Top Clients;41;Product 3;10374661,9;Lódz;Poland
691,4399999999998;SO - 0002694;04.04.2015;Wholesale;AXW291;24;3;11;1728,6;19014,6;1037,16;13;Nexus Group;Top Clients;9;Product 3;10374661,9;Odessa;Ukraine
618,6780000000001;SO - 0002713;05.04.2015;Wholesale;AXW291;17;2;11;2291,4;25205,4;1672,722;14;Alembic Ltd;Top Clients;2;Product 2;10711068,9;München (Munich);Germany
1338,0569999999998;SO - 0002754;10.04.2015;Wholesale;AXW291;18;8;11;6371,7;70088,7;5033,643;158;Linklinks Ltd;Mid. Clients;15;Product 8;10172670,3;PRAHA (Prague);Czech Republic
2197,6;SO - 0002768;11.04.2015;Wholesale;AXW291;23;6;11;5494;60434;3296,4;13;Nexus Group;Top Clients;9;Product 6;11016019,4;Birmingham;UK
2188,287;SO - 0002789;14.04.2015;Wholesale;AXW291;14;9;11;3839,1;42230,1;1650,813;42;Colgate-Pa Group;Top Clients;20;Product 9;10489225,2;Kharkov;Ukraine
1793,4560000000001;SO - 0002818;18.04.2015;Wholesale;AXW291;23;11;11;6405,2;70457,2;4611,744;33;Cadila Ltd;Top Clients;36;Product 11;10003749,9;Birmingham;UK
326,08900000000006;SO - 0002845;21.04.2015;Wholesale;AXW291;14;10;11;1051,9;11570,9;725,811;94;Browsetype Corp;Top Clients;63;Product 10;10736750;Kharkov;Ukraine
1724,58;SO - 0002888;26.04.2015;Wholesale;AXW291;25;15;11;3832,4;42156,4;2107,82;42;Colgate-Pa Group;Top Clients;20;Product 15;10747791,6;Köln (Cologne);Germany
1932,95;SO - 0002950;02.05.2015;Wholesale;AXW291;21;8;11;3865,9;42524,9;1932,95;9;Walgreen Corp;Top Clients;10;Product 8;10172670,3;Donetsk;Ukraine
538,6800000000001;SO - 0002970;04.05.2015;Wholesale;AXW291;26;10;11;2244,5;24689,5;1705,82;143;Mita Corp;Mid. Clients;2;Product 10;10736750;Torino (Turin);Italy
137,48399999999998;SO - 0002998;06.05.2015;Wholesale;AXW291;23;4;11;254,6;2800,6;117,116;61;Eidel Corp;Lower Clients;5;Product 4;10834576,7;Birmingham;UK
280,462;SO - 0003020;09.05.2015;Wholesale;AXW291;5;1;11;1078,7;11865,7;798,238;48;Rochester Group;Top Clients;24;Product 1;9446611,40000001;KIEV;Ukraine
448,63200000000006;SO - 0003070;15.05.2015;Wholesale;AXW291;12;8;11;1246,2;13708,2;797,568;144;Wordpedia Ltd;Top Clients;12;Product 8;10172670,3;BEOGRAD (Belgrade);Serbia
490,038;SO - 0003109;20.05.2015;Wholesale;AXW291;17;12;11;1065,3;11718,3;575,262;59;Gabvine Ltd;Mid. Clients;64;Product 12;10660912,7;München (Munich);Germany
1040,175;SO - 0003134;23.05.2015;Wholesale;AXW291;11;11;11;2311,5;25426,5;1271,325;102;Linkbuzz Ltd;Mid. Clients;64;Product 11;10003749,9;WARSZAWA (Warsaw);Poland
374,12800000000016;SO - 0003203;30.05.2015;Wholesale;AXW291;24;7;11;2338,3;25721,3;1964,172;134;Quimm Company;Top Clients;45;Product 7;9503112,49999999;Odessa;Ukraine
47,03399999999999;SO - 0003215;31.05.2015;Wholesale;AXW291;2;9;11;174,2;1916,2;127,166;39;Kazu Corp;Top Clients;45;Product 9;10489225,2;BERLIN;Germany
315,57000000000005;SO - 0003224;01.06.2015;Wholesale;AXW291;7;15;11;1051,9;11570,9;736,33;80;Realbuzz Ltd;Top Clients;42;Product 15;10747791,6;BUCURESTI (Bucharest);Romania
621,76;SO - 0003251;04.06.2015;Wholesale;AXW291;27;15;11;1072;11792;450,24;59;Gabvine Ltd;Mid. Clients;64;Product 15;10747791,6;ZAGREB;Croatia
2836,512;SO - 0003258;04.06.2015;Wholesale;AXW291;8;2;11;5788,8;63676,8;2952,288;82;Accudial Company;Mid. Clients;2;Product 2;10711068,9;BUDAPEST;Hungary
362,6039999999999;SO - 0003294;09.06.2015;Wholesale;AXW291;10;11;11;1098,8;12086,8;736,196;90;Aimbo Corp;Top Clients;49;Product 11;10003749,9;MINSK;Belarus
74,37;SO - 0003324;13.06.2015;Wholesale;AXW291;31;12;11;247,9;2726,9;173,53;76;NARS Group;Top Clients;27;Product 12;10660912,7;RIGA;Latvia
584,9100000000003;SO - 0003371;19.06.2015;Wholesale;AXW291;16;9;11;3899,4;42893,4;3314,49;71;Remedy Ltd;Top Clients;38;Product 9;10489225,2;Milano (Milan);Italy
297,2789999999999;SO - 0003381;20.06.2015;Wholesale;AXW291;10;11;11;1025,1;11276,1;727,821;29;Voolia Ltd;Top Clients;12;Product 11;10003749,9;MINSK;Belarus
845,1379999999999;SO - 0003421;26.06.2015;Wholesale;AXW291;21;10;11;2485,7;27342,7;1640,562;73;Deseret Group;Top Clients;31;Product 10;10736750;Donetsk;Ukraine
1533,63;SO - 0003440;28.06.2015;Wholesale;AXW291;18;12;11;3651,5;40166,5;2117,87;106;Organon Corp;Top Clients;15;Product 12;10660912,7;PRAHA (Prague);Czech Republic
405,015;SO - 0003520;08.07.2015;Wholesale;AXW291;24;4;11;1038,5;11423,5;633,485;145;Janyx Group;Top Clients;11;Product 4;10834576,7;Odessa;Ukraine
272,288;SO - 0003527;08.07.2015;Wholesale;AXW291;1;13;11;1701,8;18719,8;1429,512;8;Amerisourc Corp;Lower Clients;23;Product 13;10153809,8;LONDON;UK
856,26;SO - 0003531;09.07.2015;Wholesale;AXW291;8;2;11;1902,8;20930,8;1046,54;102;Linkbuzz Ltd;Mid. Clients;64;Product 2;10711068,9;BUDAPEST;Hungary
220,89900000000011;SO - 0003538;10.07.2015;Wholesale;AXW291;14;4;11;1051,9;11570,9;831,001;90;Aimbo Corp;Top Clients;49;Product 4;10834576,7;Kharkov;Ukraine
869,1240000000001;SO - 0003539;10.07.2015;Wholesale;AXW291;22;3;11;1889,4;20783,4;1020,276;41;Pixoboo Corp;Top Clients;25;Product 3;10374661,9;Napoli (Naples);Italy
648,9620000000001;SO - 0003546;11.07.2015;Wholesale;AXW291;6;3;11;1118,9;12307,9;469,938;62;Topiczoom Corp;Top Clients;53;Product 3;10374661,9;PARIS;France
163,81499999999994;SO - 0003579;16.07.2015;Wholesale;AXW291;21;2;11;1092,1;12013,1;928,285;72;Wordware Company;Mid. Clients;15;Product 2;10711068,9;Donetsk;Ukraine
141,50400000000002;SO - 0003605;19.07.2015;Wholesale;AXW291;20;4;11;884,4;9728,4;742,896;23;Devpoint Group;Top Clients;48;Product 4;10834576,7;Dnepropetrovsk;Ukraine
291,58400000000006;SO - 0003636;22.07.2015;Wholesale;AXW291;3;7;11;1822,4;20046,4;1530,816;156;Actavis Company;Top Clients;22;Product 7;9503112,49999999;MADRID;Spain
743,432;SO - 0003667;25.07.2015;Wholesale;AXW291;14;1;11;1956,4;21520,4;1212,968;166;Brainspher Ltd;Top Clients;39;Product 1;9446611,40000001;Kharkov;Ukraine
1719,9569999999999;SO - 0003690;29.07.2015;Wholesale;AXW291;27;10;11;3999,9;43998,9;2279,943;37;Mycone Ltd;Lower Clients;41;Product 10;10736750;ZAGREB;Croatia
445,148;SO - 0003698;30.07.2015;Wholesale;AXW291;11;4;11;1011,7;11128,7;566,552;72;Wordware Company;Mid. Clients;15;Product 4;10834576,7;WARSZAWA (Warsaw);Poland
1745,216;SO - 0003712;01.08.2015;Wholesale;AXW291;25;8;11;3966,4;43630,4;2221,184;46;Chatterpoi Corp;Top Clients;15;Product 8;10172670,3;Köln (Cologne);Germany
2626,6679999999997;SO - 0003754;04.08.2015;Wholesale;AXW291;12;13;11;5969,7;65666,7;3343,032;2;Jaxbean Group;Top Clients;42;Product 13;10153809,8;BEOGRAD (Belgrade);Serbia
158,78999999999996;SO - 0003825;13.08.2015;Wholesale;AXW291;6;13;11;1058,6;11644,6;899,81;138;Zoovu Corp;Mid. Clients;9;Product 13;10153809,8;PARIS;France
835,2220000000001;SO - 0003832;14.08.2015;Wholesale;AXW291;20;15;11;1815,7;19972,7;980,478;106;Organon Corp;Top Clients;15;Product 15;10747791,6;Dnepropetrovsk;Ukraine
94,06800000000001;SO - 0003835;15.08.2015;Wholesale;AXW291;27;9;11;180,9;1989,9;86,832;96;Thoughtmix Ltd;Top Clients;43;Product 9;10489225,2;ZAGREB;Croatia
1314,339;SO - 0003860;17.08.2015;Wholesale;AXW291;10;7;11;3370,1;37071,1;2055,761;95;Realbridge Corp;Top Clients;9;Product 7;9503112,49999999;MINSK;Belarus
1867,96;SO - 0003874;19.08.2015;Wholesale;AXW291;14;3;11;5494;60434;3626,04;4;Eire Corp;Top Clients;64;Product 3;10374661,9;Kharkov;Ukraine
55,275000000000006;SO - 0003906;22.08.2015;Wholesale;AXW291;24;13;11;167,5;1842,5;112,225;138;Zoovu Corp;Mid. Clients;9;Product 13;10153809,8;Odessa;Ukraine
562,8;SO - 0003940;27.08.2015;Wholesale;AXW291;9;6;11;2010;22110;1447,2;133;Mydo Corp;Top Clients;54;Product 6;11016019,4;Hamburg;Germany
1512,9270000000001;SO - 0003957;29.08.2015;Wholesale;AXW291;17;9;11;3879,3;42672,3;2366,373;22;SAFEWAY Ltd;Top Clients;45;Product 9;10489225,2;München (Munich);Germany
136,01;SO - 0003975;01.09.2015;Wholesale;AXW291;8;12;11;234,5;2579,5;98,49;15;Centizu Company;Top Clients;23;Product 12;10660912,7;BUDAPEST;Hungary
299,49;SO - 0003984;02.09.2015;Wholesale;AXW291;9;10;11;1996,6;21962,6;1697,11;16;Arbor Company;Top Clients;37;Product 10;10736750;Hamburg;Germany
